checksum_match,date,interval,expected_checksum,actual_checksum,file_size,line_count,unique_timestamps,first_timestamp,last_timestamp,http_status,last_modified,etag,server,content_type,content_length,x_cache,x_amz_cf_id
0,2023-03-27,1s,3209b67a1658bca766abf53e81f9794b3465e2b41a8b800d3773b82c992a0428,ff4962cec1519d32dfb303d06187ee8c2ad66866d5990a44cfce92bba7f106b9,2729872,86400,86400,1679875200000,1679961599000,200,Thu, 13 Apr 2023 10:24:14 GMT,9dfaa0cfa2fca2a268de2f889184a294,AmazonS3,application/zip,2729872,Miss from cloudfront,gF50rNacvmZC7_6afGBWf2NTa51W2HSVi9pTuTCr9jJ69GNeZo4o1w==
0,2023-03-23,1s,b975a3b6c6a821d2c1406610f2591b2173e6418e65b9a25eacf526871f6f8179,a8efde695f1d78f3dcc2d547bfe3f5244d5868ef1d1b2252fe498f95b6f1c07c,2938959,86400,86400,1679529600000,1679615999000,200,Thu, 13 Apr 2023 10:24:36 GMT,5bbaeeaff0aecaf740d826cca3ef2d51,AmazonS3,application/zip,2938959,Miss from cloudfront,EcfrI3oTTbwy-7W5wlip6tnqYJ7i0gu7aV0B3tkyZbfB3XZF5uOGoA==
0,2023-03-22,1s,2d1cbf70a28a41dd74fe6a9e105e6903023c2b125e19e3995c577b4f0bab1f53,5572e2b644f6090b8fca26480d484285d5aeaaec0001ff9a17a3c3b4cb140e5e,3196132,86400,86400,1679443200000,1679529599000,200,Thu, 13 Apr 2023 10:25:29 GMT,e5f1a954072fbddedaccb965a6fe0026,AmazonS3,application/zip,3196132,Miss from cloudfront,0EgRJtgRoOTl3nD65P_DrSCHmnjBaPoaMSdhjnnai7zLwG2k_Y-DRw==
0,2023-03-20,1s,93e99315948354ce38c9ae966581786d7942e5cfb3a6a2427c99531aeb736737,11a37de8831cbbd4cbd100fe3a14c331ba389d9326052f2750ddc7202c2986dd,3947141,86400,86400,1679270400000,1679356799000,200,Thu, 13 Apr 2023 10:24:17 GMT,93fa0f0b15a7b887b198357f6d2a68b4,AmazonS3,application/zip,3947141,Miss from cloudfront,Wg6R2sFdx4prBZpkadqMChdoeBVxH91DvjHW-HE0cS3jmyUHNOPDUA==
0,2023-03-19,1s,c7af0cca40e101ba7b039c1a67b992087645518f44fc763ce39e4434faa12b9b,bcad4b4357d07846233f5a09831c9921eda9b12253d70e247a2d02226c221446,3856386,86400,86400,1679184000000,1679270399000,200,Thu, 13 Apr 2023 10:25:20 GMT,aa28ae87ddfeecc467d337099111fb7d,AmazonS3,application/zip,3856386,Miss from cloudfront,DbkfrvxBS_-MvdJhFTPDvsLlEQgR3_-Bel7T0AGnz00ekK7VPZwAnQ==
0,2023-03-18,1s,f1571c0bfa9b784fc32b83dbf1a05c6e0adb00f03602b53083bf7c6fb45c26e9,191be7d88148e29954a564efe49d4288f3dfb5265620e269f17662d937b1253f,3875945,86400,86400,1679097600000,1679183999000,200,Thu, 13 Apr 2023 10:24:47 GMT,e362955e30be3c8cb7e3739b44a66d3b,AmazonS3,application/zip,3875945,Miss from cloudfront,cbIIT1-aX_-oZTS4vj_hmIiR4swpUy7TF__qAJ5Sd1huQyFk2g_qXg==
0,2023-03-17,1s,d80f28b3b730cd6016c09f66ed5eb3074a0d12919980212472055938e3796c75,10bc481da0c3875e8fa33c577bea63bb71c2f7ac04d6a40e758260ac3b44d9f6,3971601,86400,86400,1679011200000,1679097599000,200,Thu, 13 Apr 2023 10:25:22 GMT,645a373d96d2359c6cccd9ea74e834c4,AmazonS3,application/zip,3971601,Miss from cloudfront,a_eWmnFBGt4tqNeZ95Uw78H30AKkYMFJTT7qom4zBCqCsinYu-m9ug==
0,2023-03-16,1s,bc261f23a8e04731ea3036e88c119609b05eeb585776370d56a70ee9dccd9351,2c79f8af0336416a1e127eee6e53d8f2b07d2494c29202c5042d178b2cf3fd88,3896775,86400,86400,1678924800000,1679011199000,200,Thu, 13 Apr 2023 10:24:43 GMT,8687d97e69a737ced97c0b197f141bca,AmazonS3,application/zip,3896775,Miss from cloudfront,2rs8so0AZNG-vjuzj-L3kkGtae8XIbofbY4UPanmq3DYlsXyUGe8dA==
0,2023-03-15,1s,9cddf774db009daa3d1da1a3cfd80ccbd532e0ddd4c472b587348ab8cd0ef77a,b80dd774d06b671ccbb28532a263c4900c95a97667f0b9354be0a65094375742,3951779,86400,86400,1678838400000,1678924799000,200,Thu, 13 Apr 2023 10:24:22 GMT,46dd7b27b52bef77c60f65c9dd4cf8d4,AmazonS3,application/zip,3951779,Miss from cloudfront,4-feMGfsY7nOtKb6Sg4ydD3OIpyrGlK5tBDTZmbDsU2ypcBUNzJJNg==
0,2023-03-14,1s,58ea4a9f3c3d4bd6f0a4945e10b630d372f242c50b29c611d48f00bd53e61ff4,354f0c3f87eed762c7411df1a62e22bf547d6ec821e9c26e8a678d8307e1b408,3977426,86400,86400,1678752000000,1678838399000,200,Thu, 13 Apr 2023 10:23:37 GMT,2b2de7d313278104c857cf70da4bab2c,AmazonS3,application/zip,3977426,Miss from cloudfront,1-k6AXafXhf9subuqA_jvDuYqYIkrSj29N9StSxmwzCAGnQX2aqkLg==
