market,symbol,interval,earliest_date,available_intervals,base_symbol
spot,COSUSDT,1d,2019-08-03,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,COS
spot,COCOSUSDT,1d,2019-08-21,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,COCOS
spot,MTLUSDT,1d,2019-08-23,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,MTL
spot,TOMOUSDT,1d,2019-08-24,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,TOMO
spot,CVCUSDT,1d,2019-08-27,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,CVC
spot,DENTUSDT,1d,2019-08-27,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,DENT
spot,KEYUSDT,1d,2019-08-27,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,KEY
spot,CHZUSDT,1d,2019-09-06,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,CHZ
spot,BANDUSDT,1d,2019-09-18,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,BAND
spot,XTZUSDT,1d,2019-09-24,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,XTZ
spot,RENUSDT,1d,2019-09-25,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,REN
spot,RVNUSDT,1d,2019-09-25,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,RVN
spot,HBARUSDT,1d,2019-09-29,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,HBAR
spot,NKNUSDT,1d,2019-10-11,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,NKN
spot,KAVAUSDT,1d,2019-10-25,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,KAVA
spot,STXUSDT,1d,2019-10-25,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,STX
spot,ARPAUSDT,1d,2019-11-06,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,ARPA
spot,IOTXUSDT,1d,2019-11-14,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,IOTX
spot,RLCUSDT,1d,2019-11-14,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,RLC
spot,BCHUSDT,1d,2019-11-28,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,BCH
spot,TROYUSDT,1d,2019-12-05,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,TROY
spot,FTTUSDT,1d,2019-12-20,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,FTT
spot,OGNUSDT,1d,2020-01-09,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,OGN
spot,BNTUSDT,1d,2020-02-06,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,BNT
spot,BTSUSDT,1d,2020-02-06,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,BTS
spot,LSKUSDT,1d,2020-02-06,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,LSK
spot,MBLUSDT,1d,2020-02-21,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,MBL
spot,COTIUSDT,1d,2020-02-26,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,COTI
spot,STPTUSDT,1d,2020-03-25,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,STPT
spot,CTSIUSDT,1d,2020-04-23,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,CTSI
